N =   1: [1]                                                | longitud =  1 | tiempo = 0.0 seg
N =   2: [1, 2]                                             | longitud =  2 | tiempo = 0.0 seg
N =   3: [1, 2, 3]                                          | longitud =  3 | tiempo = 0.0 seg
N =   4: [1, 2, 4]                                          | longitud =  3 | tiempo = 0.0 seg
N =   5: [1, 2, 4, 5]                                       | longitud =  4 | tiempo = 0.0 seg
N =   6: [1, 2, 4, 6]                                       | longitud =  4 | tiempo = 0.0 seg
N =   7: [1, 2, 4, 6, 7]                                    | longitud =  5 | tiempo = 0.0 seg
N =   8: [1, 2, 4, 8]                                       | longitud =  4 | tiempo = 0.0 seg
N =   9: [1, 2, 4, 8, 9]                                    | longitud =  5 | tiempo = 0.0 seg
N =  10: [1, 2, 4, 8, 10]                                   | longitud =  5 | tiempo = 0.0 seg
N =  11: [1, 2, 4, 8, 10, 11]                               | longitud =  6 | tiempo = 0.0 seg
N =  12: [1, 2, 4, 8, 12]                                   | longitud =  5 | tiempo = 0.0 seg
N =  13: [1, 2, 4, 8, 12, 13]                               | longitud =  6 | tiempo = 0.0 seg
N =  14: [1, 2, 4, 8, 12, 14]                               | longitud =  6 | tiempo = 0.0 seg
N =  15: [1, 2, 4, 5, 10, 15]                               | longitud =  6 | tiempo = 0.0 seg
N =  16: [1, 2, 4, 8, 16]                                   | longitud =  5 | tiempo = 0.0 seg
N =  17: [1, 2, 4, 8, 16, 17]                               | longitud =  6 | tiempo = 0.0 seg
N =  18: [1, 2, 4, 8, 16, 18]                               | longitud =  6 | tiempo = 0.0 seg
N =  19: [1, 2, 4, 8, 16, 18, 19]                           | longitud =  7 | tiempo = 0.0 seg
N =  20: [1, 2, 4, 8, 16, 20]                               | longitud =  6 | tiempo = 0.0 seg
N =  21: [1, 2, 4, 8, 16, 20, 21]                           | longitud =  7 | tiempo = 0.0 seg
N =  22: [1, 2, 4, 8, 16, 20, 22]                           | longitud =  7 | tiempo = 0.0 seg
N =  23: [1, 2, 4, 5, 9, 18, 23]                            | longitud =  7 | tiempo = 0.0 seg
N =  24: [1, 2, 4, 8, 16, 24]                               | longitud =  6 | tiempo = 0.0 seg
N =  25: [1, 2, 4, 8, 16, 24, 25]                           | longitud =  7 | tiempo = 0.0 seg
N =  26: [1, 2, 4, 8, 16, 24, 26]                           | longitud =  7 | tiempo = 0.0 seg
N =  27: [1, 2, 4, 8, 9, 18, 27]                            | longitud =  7 | tiempo = 0.0 seg
N =  28: [1, 2, 4, 8, 16, 24, 28]                           | longitud =  7 | tiempo = 0.0 seg
N =  29: [1, 2, 4, 8, 16, 24, 28, 29]                       | longitud =  8 | tiempo = 0.018996715545654297 seg
N =  30: [1, 2, 4, 8, 10, 20, 30]                           | longitud =  7 | tiempo = 0.000782012939453125 seg
N =  31: [1, 2, 4, 8, 10, 20, 30, 31]                       | longitud =  8 | tiempo = 0.0018253326416015625 seg
N =  32: [1, 2, 4, 8, 16, 32]                               | longitud =  6 | tiempo = 0.0 seg
N =  33: [1, 2, 4, 8, 16, 32, 33]                           | longitud =  7 | tiempo = 0.0 seg
N =  34: [1, 2, 4, 8, 16, 32, 34]                           | longitud =  7 | tiempo = 0.0 seg
N =  35: [1, 2, 4, 8, 16, 32, 34, 35]                       | longitud =  8 | tiempo = 0.0 seg
N =  36: [1, 2, 4, 8, 16, 32, 36]                           | longitud =  7 | tiempo = 0.011599063873291016 seg
N =  37: [1, 2, 4, 8, 16, 32, 36, 37]                       | longitud =  8 | tiempo = 0.0010058879852294922 seg
N =  38: [1, 2, 4, 8, 16, 32, 36, 38]                       | longitud =  8 | tiempo = 0.0 seg
N =  39: [1, 2, 4, 8, 12, 13, 26, 39]                       | longitud =  8 | tiempo = 0.0 seg
N =  40: [1, 2, 4, 8, 16, 32, 40]                           | longitud =  7 | tiempo = 0.0 seg
N =  41: [1, 2, 4, 8, 16, 32, 40, 41]                       | longitud =  8 | tiempo = 0.0 seg
N =  42: [1, 2, 4, 8, 16, 32, 40, 42]                       | longitud =  8 | tiempo = 0.0 seg
N =  43: [1, 2, 4, 8, 9, 17, 34, 43]                        | longitud =  8 | tiempo = 0.02187967300415039 seg
N =  44: [1, 2, 4, 8, 16, 32, 40, 44]                       | longitud =  8 | tiempo = 0.0019969940185546875 seg
N =  45: [1, 2, 4, 8, 9, 18, 36, 45]                        | longitud =  8 | tiempo = 0.006995677947998047 seg
N =  46: [1, 2, 4, 8, 10, 18, 36, 46]                       | longitud =  8 | tiempo = 0.005725860595703125 seg
N =  47: [1, 2, 4, 8, 12, 13, 26, 39, 47]                   | longitud =  9 | tiempo = 0.07629585266113281 seg
N =  48: [1, 2, 4, 8, 16, 32, 48]                           | longitud =  7 | tiempo = 0.0 seg
N =  49: [1, 2, 4, 8, 16, 32, 48, 49]                       | longitud =  8 | tiempo = 0.0 seg
N =  50: [1, 2, 4, 8, 16, 32, 48, 50]                       | longitud =  8 | tiempo = 0.0 seg
N =  51: [1, 2, 4, 8, 16, 17, 34, 51]                       | longitud =  8 | tiempo = 0.0 seg
N =  52: [1, 2, 4, 8, 16, 32, 48, 52]                       | longitud =  8 | tiempo = 0.0 seg
N =  53: [1, 2, 4, 8, 16, 32, 48, 52, 53]                   | longitud =  9 | tiempo = 0.015775442123413086 seg
N =  54: [1, 2, 4, 8, 16, 18, 36, 54]                       | longitud =  8 | tiempo = 0.015787839889526367 seg
N =  55: [1, 2, 4, 8, 16, 18, 36, 54, 55]                   | longitud =  9 | tiempo = 0.03196072578430176 seg
N =  56: [1, 2, 4, 8, 16, 32, 48, 56]                       | longitud =  8 | tiempo = 0.0 seg
N =  57: [1, 2, 4, 8, 16, 32, 48, 56, 57]                   | longitud =  9 | tiempo = 0.015839099884033203 seg
N =  58: [1, 2, 4, 8, 16, 32, 48, 56, 58]                   | longitud =  9 | tiempo = 0.015879154205322266 seg
N =  59: [1, 2, 4, 8, 16, 17, 34, 51, 59]                   | longitud =  9 | tiempo = 0.031494855880737305 seg
N =  60: [1, 2, 4, 8, 16, 20, 40, 60]                       | longitud =  8 | tiempo = 0.0 seg
N =  61: [1, 2, 4, 8, 16, 20, 40, 60, 61]                   | longitud =  9 | tiempo = 0.03203749656677246 seg
N =  62: [1, 2, 4, 8, 16, 20, 40, 60, 62]                   | longitud =  9 | tiempo = 0.0160980224609375 seg
N =  63: [1, 2, 4, 8, 16, 20, 21, 42, 63]                   | longitud =  9 | tiempo = 0.08020663261413574 seg
N =  64: [1, 2, 4, 8, 16, 32, 64]                           | longitud =  7 | tiempo = 0.0 seg
N =  65: [1, 2, 4, 8, 16, 32, 64, 65]                       | longitud =  8 | tiempo = 0.0 seg
N =  66: [1, 2, 4, 8, 16, 32, 64, 66]                       | longitud =  8 | tiempo = 0.0 seg
N =  67: [1, 2, 4, 8, 16, 32, 64, 66, 67]                   | longitud =  9 | tiempo = 0.015917539596557617 seg
N =  68: [1, 2, 4, 8, 16, 32, 64, 68]                       | longitud =  8 | tiempo = 0.0 seg
N =  69: [1, 2, 4, 8, 16, 32, 64, 68, 69]                   | longitud =  9 | tiempo = 0.0 seg
N =  70: [1, 2, 4, 8, 16, 32, 64, 68, 70]                   | longitud =  9 | tiempo = 0.016036272048950195 seg
N =  71: [1, 2, 4, 8, 16, 32, 64, 68, 70, 71]               | longitud = 10 | tiempo = 0.3498854637145996 seg
N =  72: [1, 2, 4, 8, 16, 32, 64, 72]                       | longitud =  8 | tiempo = 0.0 seg
N =  73: [1, 2, 4, 8, 16, 32, 64, 72, 73]                   | longitud =  9 | tiempo = 0.01593160629272461 seg
N =  74: [1, 2, 4, 8, 16, 32, 64, 72, 74]                   | longitud =  9 | tiempo = 0.0 seg
N =  75: [1, 2, 4, 8, 16, 24, 25, 50, 75]                   | longitud =  9 | tiempo = 0.016132116317749023 seg
N =  76: [1, 2, 4, 8, 16, 32, 64, 72, 76]                   | longitud =  9 | tiempo = 0.0 seg
N =  77: [1, 2, 4, 8, 9, 17, 34, 68, 77]                    | longitud =  9 | tiempo = 0.06364560127258301 seg
N =  78: [1, 2, 4, 8, 16, 24, 26, 52, 78]                   | longitud =  9 | tiempo = 0.01593804359436035 seg
N =  79: [1, 2, 4, 8, 16, 24, 26, 52, 78, 79]               | longitud = 10 | tiempo = 0.4086127281188965 seg
N =  80: [1, 2, 4, 8, 16, 32, 64, 80]                       | longitud =  8 | tiempo = 0.01208639144897461 seg
N =  81: [1, 2, 4, 8, 16, 32, 64, 80, 81]                   | longitud =  9 | tiempo = 0.00684666633605957 seg
N =  82: [1, 2, 4, 8, 16, 32, 64, 80, 82]                   | longitud =  9 | tiempo = 0.006003379821777344 seg
N =  83: [1, 2, 4, 8, 16, 17, 33, 66, 83]                   | longitud =  9 | tiempo = 0.021345138549804688 seg
N =  84: [1, 2, 4, 8, 16, 32, 64, 80, 84]                   | longitud =  9 | tiempo = 0.0 seg
N =  85: [1, 2, 4, 8, 16, 17, 34, 68, 85]                   | longitud =  9 | tiempo = 0.03184866905212402 seg
N =  86: [1, 2, 4, 8, 16, 18, 34, 68, 86]                   | longitud =  9 | tiempo = 0.01873040199279785 seg
N =  87: [1, 2, 4, 8, 16, 24, 28, 29, 58, 87]               | longitud = 10 | tiempo = 0.2957339286804199 seg
N =  88: [1, 2, 4, 8, 16, 32, 64, 80, 88]                   | longitud =  9 | tiempo = 0.01657867431640625 seg
N =  89: [1, 2, 4, 8, 16, 32, 64, 80, 88, 89]               | longitud = 10 | tiempo = 0.18088841438293457 seg
N =  90: [1, 2, 4, 8, 16, 18, 36, 72, 90]                   | longitud =  9 | tiempo = 0.01580071449279785 seg
N =  91: [1, 2, 4, 8, 16, 24, 25, 50, 75, 91]               | longitud = 10 | tiempo = 0.2883908748626709 seg
N =  92: [1, 2, 4, 8, 16, 20, 36, 72, 92]                   | longitud =  9 | tiempo = 0.015800952911376953 seg
N =  93: [1, 2, 4, 8, 16, 20, 36, 72, 92, 93]               | longitud = 10 | tiempo = 0.28534603118896484 seg
N =  94: [1, 2, 4, 8, 16, 24, 26, 52, 78, 94]               | longitud = 10 | tiempo = 0.2647569179534912 seg
N =  95: [1, 2, 4, 8, 16, 20, 21, 37, 74, 95]               | longitud = 10 | tiempo = 1.549769401550293 seg
N =  96: [1, 2, 4, 8, 16, 32, 64, 96]                       | longitud =  8 | tiempo = 0.0 seg
N =  97: [1, 2, 4, 8, 16, 32, 64, 96, 97]                   | longitud =  9 | tiempo = 0.002457857131958008 seg
N =  98: [1, 2, 4, 8, 16, 32, 64, 96, 98]                   | longitud =  9 | tiempo = 0.0 seg
N =  99: [1, 2, 4, 8, 16, 32, 33, 66, 99]                   | longitud =  9 | tiempo = 0.0 seg
N = 100: [1, 2, 4, 8, 16, 32, 64, 96, 100]                  | longitud =  9 | tiempo = 0.0 seg
N = 101: [1, 2, 4, 8, 16, 32, 64, 96, 100, 101]             | longitud = 10 | tiempo = 0.09476304054260254 seg
N = 102: [1, 2, 4, 8, 16, 32, 34, 68, 102]                  | longitud =  9 | tiempo = 0.015919923782348633 seg
N = 103: [1, 2, 4, 8, 16, 32, 34, 68, 102, 103]             | longitud = 10 | tiempo = 0.11146092414855957 seg
N = 104: [1, 2, 4, 8, 16, 32, 64, 96, 104]                  | longitud =  9 | tiempo = 0.0 seg
